ID,TARGET
2024-07-01_B09KDR64LT,2.0368734870848053
2024-07-01_B09KDTS4DC,2.0368734870848053
2024-07-01_B09KDTHJ6V,2.0368734870848053
2024-07-01_B09KDQ2BWY,2.0368734870848053
2024-07-01_B09KDYY3SB,18.32
2024-07-01_B09KDNYCYR,1.04
2024-07-01_B09KDN7PYR,2.0368734870848053
2024-07-01_B09KDLQ2GW,20.59
2024-07-01_B0BDRTZTGX,1.91
2024-07-01_B09KDVXTP4,2.0368734870848053
2024-07-01_B09KDPXYG3,2.0368734870848053
2024-07-01_B09KDW1YKQ,2.0368734870848053
2024-07-01_B09MR36MLJ,2.0368734870848053
2024-07-01_B09KDZQJ6P,2.0368734870848053
2024-07-01_B09MR3Y296,2.0368734870848053
2024-07-01_B09KSXP3HN,14.39
2024-07-01_B09KT5HMNY,2.25
2024-07-01_B09KTF8ZDQ,2.0368734870848053
2024-07-01_B09KTFXX6L,2.0368734870848053
2024-07-01_B09KTJRHC7,18.92
2024-07-01_B09KTMKDKJ,53.31
2024-07-01_B09KTMLQ1N,18.9
2024-07-01_B09MR2FY5D,43.51
2024-07-01_B09MR2MLZH,3.813333333333334
2024-07-01_B09MR4B13C,58.01
2024-07-01_B09KDXJJ6W,2.9775
2024-07-01_B09KSYL73R,18.86
2024-07-01_B0B31VFJ6Q,108.94
2024-07-01_B09MR4G722,4.369071428571428
2024-07-01_B09MR3RSW8,2.0368734870848053
2024-07-01_B0B31SM3ZR,2.0368734870848053
2024-07-01_B0B31R1ZBV,2.0368734870848053
2024-07-01_B09X1JTK49,2.0368734870848053
2024-07-01_B09X1HV1NL,7.19
2024-07-01_B09X1H629F,2.54
2024-07-01_B09X1F1L26,-12.88
2024-07-01_B09X1F8C23,33.57
2024-07-01_B09X1DHRLN,4.8
2024-07-01_B09MR5WS3Y,2.0368734870848053
2024-07-01_B09MR56Q9N,2.0368734870848053
2024-07-01_B0B31T1XMH,2.0368734870848053
2024-07-01_B09MR4Z3H8,8.56
2024-07-01_B09MR4Z3H9,0.65
2024-07-01_B0B31V3PKG,2.0368734870848053
2024-07-01_B0B31VTH56,2.0368734870848053
2024-07-01_B0B31Y1FDZ,10.42
2024-07-01_B0B699PLXD,8.516
2024-07-01_B0B69B8R3C,2.0368734870848053
2024-07-01_B0B69C4GST,2.0368734870848053
2024-07-01_B0B69DD2C7,2.0368734870848053
2024-07-01_B0B69DK8JN,2.0368734870848053
2024-07-01_B0B69FBGN1,2.0368734870848053
2024-07-01_B0B69G3YRM,2.0368734870848053
2024-07-01_B0B69GN5KJ,2.0368734870848053
2024-07-01_B0B69SF1BT,2.0368734870848053
2024-07-01_B0BDRQWBK9,2.0368734870848053
2024-07-01_B09MR3XT5G,8.38
2024-07-01_B09X1FWK8Z,1.07
2024-07-01_B0CY5QQ49F,2.0368734870848053
2024-07-01_B0BNKZYHRX,2.0368734870848053
2024-07-01_B0BRCXJ1F6,2.0368734870848053
2024-07-01_B0BGDWGRQB,2.0368734870848053
2024-07-01_B0BGDX2Z3L,9.36
2024-07-01_B0BGDXM13S,3.4266666666666667
2024-07-01_B0BGDXV7FD,2.0368734870848053
2024-07-01_B0BGDZLDX2,2.0368734870848053
2024-07-01_B0BNKXC5H1,2.0368734870848053
2024-07-01_B0BNKY8RQN,2.0368734870848053
2024-07-01_B0BNKYZD2Z,2.0368734870848053
2024-07-01_B0BNKZ88Z5,2.0368734870848053
2024-07-01_B0BNKZCWFL,2.0368734870848053
2024-07-01_B0BRCXJRX6,3.4
2024-07-01_B0BG2Z8CY4,2.44
2024-07-01_B0BNL5BKMK,2.0368734870848053
2024-07-01_B0BNL1CG6X,2.0368734870848053
2024-07-01_B0BRCXCXCV,2.0368734870848053
2024-07-01_B0BRCW79VK,2.0368734870848053
2024-07-01_B0BRCW2B64,2.0368734870848053
2024-07-01_B0BNL7TJRT,2.0368734870848053
2024-07-01_B0BRCXDHBX,2.0368734870848053
2024-07-01_B0BNL4S6MB,2.0368734870848053
2024-07-01_B0BNL3YY1C,2.0368734870848053
2024-07-01_B0BNL3J36Z,2.0368734870848053
2024-07-01_B0BNL4L4K5,2.0368734870848053
2024-07-01_B0BDRS6R5Z,2.0368734870848053
2024-07-01_B0BNL11QD8,2.0368734870848053
2024-07-01_B0BSLTZV4Z,2.0368734870848053
2024-07-01_B0BNKZ9BJR,2.0368734870848053
2024-07-01_B0BG2T78CJ,2.0368734870848053
2024-07-01_B0BRCXQMS5,2.0368734870848053
2024-07-01_B0C9JLKFPZ,2.0368734870848053
2024-07-01_B0BRCXQRC9,20.536666666666665
2024-07-01_B0BRCXXBG2,2.54
2024-07-01_B0BRCY8QMH,2.0368734870848053
2024-07-01_B0BRCYJ33N,24.78
2024-07-01_B0BRCYJ4SR,4.08
2024-07-01_B0BRCYK4JK,17.53
2024-07-01_B0BRCYQNSW,402.29
2024-07-01_B0BRCYV77T,36.19
2024-07-01_B0BRDCBGFD,1.77
2024-07-01_B0BRDCJWJC,2.0368734870848053
2024-07-01_B0BSLTV9FL,2.0368734870848053
2024-07-01_B0BSLWJKSX,2.0368734870848053
2024-07-01_B0BG2PD396,2.0368734870848053
2024-07-01_B0CY5LR4VX,2.0368734870848053
2024-07-01_B0CFV6V981,-13.09
2024-07-01_B0CY5KFQBD,47.12552631578947
2024-07-01_B0CR4C98FS,2.0368734870848053
2024-07-01_B0CR4C5WXS,2.0368734870848053
